Lemma,Sentiment level
snapdragon,5.0
acupuncture,4.944444444444445
physique,4.923076923076923
shavery,4.916666666666667
kent,4.909090909090909
shelly,4.857142857142857
lori,4.838709677419355
choir,4.8
euphoric,4.7894736842105265
patel,4.785714285714286
dexter,4.785714285714286
infectious,4.777777777777778
nationally,4.769230769230769
boudoir,4.769230769230769
unrivaled,4.75
feline,4.75
effortless,4.7368421052631575
limu,4.7272727272727275
flores,4.7272727272727275
noel,4.7272727272727275
henna,4.7272727272727275
miraculous,4.7272727272727275
layman,4.7272727272727275
masterful,4.72
perfectionist,4.717391304347826
waxer,4.7
hydration,4.6875
passionate,4.675257731958763
knockout,4.666666666666667
soulful,4.666666666666667
cherish,4.666666666666667
wondrous,4.666666666666667
cruller,4.647058823529412
pioneer,4.647058823529412
immaculately,4.642857142857143
dedication,4.641791044776119
spinner,4.636363636363637
dune,4.636363636363637
airbrush,4.636363636363637
teasing,4.636363636363637
emulsion,4.636363636363637
sublime,4.632075471698113
transcendent,4.625
timeless,4.625
perfecto,4.625
punctual,4.622641509433962
amaze,4.615384615384615
thoroughness,4.615384615384615
prefect,4.611111111111111
effortlessly,4.611111111111111
meticulous,4.605633802816901
masterpiece,4.6022727272727275
cheered,4.6
metropolis,4.6
approachable,4.594202898550725
charisma,4.583333333333333
credible,4.583333333333333
oversell,4.583333333333333
compassionate,4.582278481012659
cyclist,4.580645161290323
flawless,4.579617834394904
veterinary,4.578947368421052
kinky,4.571428571428571
jess,4.571428571428571
unparalleled,4.571428571428571
seamless,4.571428571428571
brent,4.571428571428571
colorist,4.571428571428571
unforgettable,4.569444444444445
ecstasy,4.565217391304348
dedicate,4.5625
communicator,4.5625
orgasmic,4.5606060606060606
unmatched,4.555555555555555
bumble,4.555555555555555
wod,4.545454545454546
intelligentsia,4.545454545454546
cacao,4.545454545454546
worship,4.545454545454546
fantastico,4.545454545454546
fiddle,4.545454545454546
unbeatable,4.544642857142857
exquisite,4.541062801932367
tanner,4.538461538461538
tammy,4.538461538461538
gem,4.5366008911521325
encouragement,4.535714285714286
transform,4.535714285714286
violin,4.533333333333333
seth,4.533333333333333
tapestry,4.533333333333333
bree,4.529411764705882
oodles,4.523809523809524
expertly,4.516393442622951
cycling,4.513513513513513
snowflake,4.5
filo,4.5
seductive,4.5
earthiness,4.5
exhilarating,4.5
rejoice,4.5
mahogany,4.5
stuffiness,4.5
doodle,4.5
meditation,4.5
sinfully,4.5
explorer,4.5
submarine,4.5
experimented,4.5
poem,4.5
consummate,4.5
invaluable,4.5
jordan,4.5
supportive,4.492063492063492
jo,4.487804878048781
